time,elevation,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,0,0
00:40:00,0,0
00:50:00,0,10
01:00:00,0,10
01:10:00,0,10
01:20:00,0,10
01:30:00,0,10
01:40:00,0,10
01:50:00,0,10
02:00:00,0,10
02:10:00,0,20
02:20:00,0,20
02:30:00,0,20
02:40:00,0,20
02:50:00,0,30
03:00:00,0,30
03:10:00,0,60
03:20:00,0,60
03:30:00,0,60
03:40:00,0,60
03:50:00,0,60
04:00:00,0,60
04:10:00,0,60
04:20:00,0,60
04:30:00,0,60
04:40:00,0,60
04:50:00,0,60
05:00:00,0,60
05:10:00,0,60
05:20:00,0,60
05:30:00,0,60
05:40:00,0,60
05:50:00,0,60
06:00:00,0,60
06:10:00,0,60
06:20:00,0,60
06:30:00,0,60
06:40:00,0,60
06:50:00,0,60
07:00:00,0,60
07:10:00,0,60
07:20:00,0,60
07:30:00,0,60
07:40:00,0,60
07:50:00,0,60
08:00:00,0,60
08:10:00,0,60
08:20:00,0,60
08:30:00,0,60
08:40:00,0,60
08:50:00,0,60
09:00:00,0,60
09:10:00,0,60
09:20:00,0,60
09:30:00,0,60
09:40:00,0,60
09:50:00,0,60
10:00:00,0,60
10:10:00,0,60
10:20:00,0,60
10:30:00,0,60
10:40:00,0,60
10:50:00,0,60
11:00:00,0,60
11:10:00,0,60
11:20:00,0,60
11:30:00,0,60
11:40:00,0,60
11:50:00,0,60
12:00:00,0,60
12:10:00,0,60
12:20:00,0,60
12:30:00,0,70
12:40:00,0,70
12:50:00,0,70
13:00:00,0,70
13:10:00,0,70
13:20:00,0,70
13:30:00,0,70
13:40:00,0,80
13:50:00,0,80
14:00:00,0,110
14:10:00,0,110
14:20:00,0,110
14:30:00,0,110
14:40:00,0,110
14:50:00,0,110
15:00:00,0,110
15:10:00,0,110
15:20:00,0,120
15:30:00,0,120
15:40:00,0,120
15:50:00,0,120
16:00:00,0,120
16:10:00,0,120
16:20:00,0,120
16:30:00,0,120
16:40:00,0,120
16:50:00,0,120
17:00:00,0,120
17:10:00,0,120
17:20:00,0,120
17:30:00,0,120
17:40:00,0,120
17:50:00,0,120
18:00:00,0,120
18:10:00,0,120
18:20:00,0,120
18:30:00,0,120
18:40:00,0,120
18:50:00,0,120
19:00:00,0,120
19:10:00,0,120
19:20:00,0,120
19:30:00,0,120
19:40:00,0,120
19:50:00,0,120
20:00:00,0,120
20:10:00,0,120
20:20:00,0,130
20:30:00,0,130
20:40:00,0,130
20:50:00,0,130
21:00:00,0,130
21:10:00,0,130
21:20:00,0,130
21:30:00,0,130
21:40:00,0,130
21:50:00,0,130
22:00:00,0,140
22:10:00,0,140
22:20:00,0,140
22:30:00,0,140
22:40:00,0,140
22:50:00,0,140
23:00:00,0,140
23:10:00,0,140
23:20:00,0,140
23:30:00,0,140
23:40:00,0,140
23:50:00,0,140
