time,floors,total
00:00:00,0,0
00:10:00,0,0
00:20:00,0,0
00:30:00,0,0
00:40:00,0,0
00:50:00,0,0
01:00:00,0,0
01:10:00,0,0
01:20:00,0,0
01:30:00,0,0
01:40:00,0,0
01:50:00,0,0
02:00:00,0,0
02:10:00,0,0
02:20:00,0,0
02:30:00,0,0
02:40:00,0,0
02:50:00,0,0
03:00:00,0,0
03:10:00,0,0
03:20:00,0,0
03:30:00,0,0
03:40:00,0,0
03:50:00,0,0
04:00:00,0,0
04:10:00,0,0
04:20:00,0,0
04:30:00,0,0
04:40:00,0,0
04:50:00,0,0
05:00:00,0,0
05:10:00,0,0
05:20:00,0,0
05:30:00,0,0
05:40:00,0,0
05:50:00,0,0
06:00:00,0,0
06:10:00,0,0
06:20:00,0,0
06:30:00,0,0
06:40:00,0,0
06:50:00,0,0
07:00:00,0,0
07:10:00,0,0
07:20:00,0,0
07:30:00,0,0
07:40:00,0,0
07:50:00,0,0
08:00:00,0,0
08:10:00,0,0
08:20:00,0,0
08:30:00,0,0
08:40:00,0,0
08:50:00,0,2
09:00:00,0,2
09:10:00,0,2
09:20:00,0,2
09:30:00,0,2
09:40:00,0,2
09:50:00,0,2
10:00:00,0,2
10:10:00,0,2
10:20:00,0,2
10:30:00,0,2
10:40:00,0,2
10:50:00,0,2
11:00:00,0,2
11:10:00,0,2
11:20:00,0,2
11:30:00,0,2
11:40:00,0,2
11:50:00,0,2
12:00:00,0,2
12:10:00,0,2
12:20:00,0,2
12:30:00,0,2
12:40:00,0,2
12:50:00,0,2
13:00:00,0,2
13:10:00,0,2
13:20:00,0,2
13:30:00,0,2
13:40:00,0,2
13:50:00,0,2
14:00:00,0,2
14:10:00,0,2
14:20:00,0,2
14:30:00,0,2
14:40:00,0,2
14:50:00,0,2
15:00:00,0,2
15:10:00,0,2
15:20:00,0,2
15:30:00,0,2
15:40:00,0,2
15:50:00,2,6
16:00:00,0,6
16:10:00,0,6
16:20:00,0,6
16:30:00,0,6
16:40:00,0,7
16:50:00,0,7
17:00:00,0,10
17:10:00,0,12
17:20:00,0,12
17:30:00,0,12
17:40:00,0,13
17:50:00,0,13
18:00:00,0,13
18:10:00,0,13
18:20:00,0,13
18:30:00,0,14
18:40:00,0,14
18:50:00,0,14
19:00:00,0,14
19:10:00,0,14
19:20:00,0,16
19:30:00,0,16
19:40:00,0,16
19:50:00,0,16
20:00:00,0,16
20:10:00,0,16
20:20:00,0,18
20:30:00,2,21
20:40:00,0,21
20:50:00,0,21
21:00:00,0,21
21:10:00,0,21
21:20:00,0,21
21:30:00,0,22
21:40:00,0,22
21:50:00,0,22
22:00:00,0,23
22:10:00,0,23
22:20:00,0,24
22:30:00,0,24
22:40:00,0,24
22:50:00,0,24
23:00:00,0,24
23:10:00,0,25
23:20:00,0,25
23:30:00,0,25
23:40:00,0,27
23:50:00,0,27
